"","spotify_id","spotify_uri","album","name","popularity","release_date","track_number","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"1","3uSATa7xWXVJrMhJJSnGGk","spotify:track:3uSATa7xWXVJrMhJJSnGGk","72 Seasons","72 Seasons",71,"2023-04-14",1,0.196,0.981,9,-3.865,1,0.0574,4.16e-05,0.052,0.0636,0.403,168.183,459120,4
"2","5iG1GycXpheJ5xMW0gNvKv","spotify:track:5iG1GycXpheJ5xMW0gNvKv","72 Seasons","Shadows Follow",70,"2023-04-14",2,0.316,0.978,11,-3.937,1,0.0507,0.000106,0.0325,0.325,0.671,178.554,371880,4
"3","2hBn08QphNtdnhwDNtnZMg","spotify:track:2hBn08QphNtdnhwDNtnZMg","72 Seasons","Screaming Suicide",68,"2023-04-14",3,0.427,0.973,4,-3.469,0,0.0445,2.66e-05,0.02,0.26,0.317,100.979,330453,4
"4","6HeYgpgqEo8SGis4dHwRbu","spotify:track:6HeYgpgqEo8SGis4dHwRbu","72 Seasons","Sleepwalk My Life Away",68,"2023-04-14",4,0.45,0.949,11,-4.181,1,0.0343,2.13e-05,0.0404,0.0977,0.53,124.949,416067,4
"5","1ALXFmNr7lrTug2LAE989q","spotify:track:1ALXFmNr7lrTug2LAE989q","72 Seasons","You Must Burn!",67,"2023-04-14",5,0.235,0.958,4,-3.069,1,0.0426,8.97e-05,0.0173,0.0374,0.453,172.774,423013,4
"6","6eXWc7irALyENtbAD2TTOT","spotify:track:6eXWc7irALyENtbAD2TTOT","72 Seasons","Lux Æterna",68,"2023-04-14",6,0.401,0.996,11,-3.327,0,0.0714,1.15e-05,0.000879,0.121,0.226,130.596,201760,4
"7","6eiFVKWhv9EYL2RdrVFtyC","spotify:track:6eiFVKWhv9EYL2RdrVFtyC","72 Seasons","Crown of Barbed Wire",66,"2023-04-14",7,0.441,0.963,9,-3.984,1,0.0363,1.9e-05,0.0243,0.0582,0.245,111.68,349400,4
"8","0aHwh2rqyJNN0eZ4sGZLEt","spotify:track:0aHwh2rqyJNN0eZ4sGZLEt","72 Seasons","Chasing Light",65,"2023-04-14",8,0.251,0.981,4,-3.59,0,0.0557,2.33e-05,0.0456,0.408,0.68,182.396,405107,4
"9","1oCQLSGSiHozdyx7lOqkIt","spotify:track:1oCQLSGSiHozdyx7lOqkIt","72 Seasons","If Darkness Had a Son",66,"2023-04-14",9,0.478,0.939,9,-4.349,1,0.0443,2.67e-05,0.00488,0.0511,0.396,123.391,396293,4
"10","2ZPnedMaS4W1de05Xz18hF","spotify:track:2ZPnedMaS4W1de05Xz18hF","72 Seasons","Too Far Gone?",66,"2023-04-14",10,0.472,0.989,0,-4.131,1,0.0443,2.99e-05,0.0254,0.0808,0.452,96.541,273693,4
"11","3L82LuRzu60EPSK1yf5Pxr","spotify:track:3L82LuRzu60EPSK1yf5Pxr","72 Seasons","Room of Mirrors",65,"2023-04-14",11,0.281,0.987,6,-3.503,0,0.0593,2.52e-05,0.0656,0.11,0.671,159.37,333707,4
"12","589aAz8258JEsMwpJglalU","spotify:track:589aAz8258JEsMwpJglalU","72 Seasons","Inamorata",66,"2023-04-14",12,0.497,0.869,11,-4.046,1,0.0319,0.000303,0.00794,0.067,0.284,120.41,670253,4
"363","10qHfyQqzsbBDwob8nk8Ol","spotify:track:10qHfyQqzsbBDwob8nk8Ol","Hardwired…To Self-Destruct","Hardwired",47,"2016-11-18",1,0.128,0.991,11,-3.289,1,0.0582,1.11e-05,0.00362,0.219,0.53,186.124,189347,4
"364","6fjer7Ed6ZUna1EMbwbDrN","spotify:track:6fjer7Ed6ZUna1EMbwbDrN","Hardwired…To Self-Destruct","Atlas, Rise!",51,"2016-11-18",2,0.416,0.994,4,-3.354,0,0.0609,2.93e-05,0.0299,0.0704,0.434,95.205,388625,4
"365","2NBvvx52QAjipBnXvAekfs","spotify:track:2NBvvx52QAjipBnXvAekfs","Hardwired…To Self-Destruct","Now That We’re Dead",51,"2016-11-18",3,0.565,0.949,2,-3.828,1,0.0464,9.24e-05,0.099,0.254,0.331,128.303,419075,4
"366","3JjZq20Kv6UphyyirAaY9A","spotify:track:3JjZq20Kv6UphyyirAaY9A","Hardwired…To Self-Destruct","Moth Into Flame",59,"2016-11-18",4,0.163,0.977,4,-3.585,0,0.0591,3.64e-05,0.0052,0.0555,0.369,178.44,350644,4
"367","1dzmb0UZZatm5VCD8fI8UF","spotify:track:1dzmb0UZZatm5VCD8fI8UF","Hardwired…To Self-Destruct","Dream No More",44,"2016-11-18",5,0.509,0.944,7,-3.698,1,0.0577,6.26e-05,0.00404,0.0629,0.299,97.505,389598,4
"368","0dcFoXAFWxx7oSIIq2mtkW","spotify:track:0dcFoXAFWxx7oSIIq2mtkW","Hardwired…To Self-Destruct","Halo On Fire",47,"2016-11-18",6,0.323,0.936,4,-3.514,0,0.0504,1.43e-05,0.00437,0.0983,0.21,126.367,495017,4
"369","3m8zeHjUKHDVHbx5JmS2qx","spotify:track:3m8zeHjUKHDVHbx5JmS2qx","Hardwired…To Self-Destruct","Confusion",43,"2016-11-18",1,0.447,0.99,4,-3.752,1,0.0639,2.94e-05,0.0344,0.125,0.35,122.288,401226,4
"370","4IuzY8RNrCGPIchltRMWzz","spotify:track:4IuzY8RNrCGPIchltRMWzz","Hardwired…To Self-Destruct","ManUNkind",40,"2016-11-18",2,0.299,0.937,4,-4.375,0,0.0468,2.25e-05,0.0051,0.0977,0.353,136.079,415599,4
"371","4Ixe61Sv0WlxBhDjRtEgH3","spotify:track:4Ixe61Sv0WlxBhDjRtEgH3","Hardwired…To Self-Destruct","Here Comes Revenge",42,"2016-11-18",3,0.496,0.98,6,-4.049,0,0.0688,6.57e-05,0.122,0.118,0.305,131.691,437625,4
"372","5EA75qDylWv25sjzyM1BOa","spotify:track:5EA75qDylWv25sjzyM1BOa","Hardwired…To Self-Destruct","Am I Savage?",40,"2016-11-18",4,0.327,0.943,0,-3.898,1,0.0485,2.15e-05,0.000882,0.0738,0.242,144.016,389663,4
"373","1CNCFVas53ePcTa6xjMhoF","spotify:track:1CNCFVas53ePcTa6xjMhoF","Hardwired…To Self-Destruct","Murder One",42,"2016-11-18",5,0.456,0.948,6,-3.595,1,0.0406,2.18e-05,0.00252,0.106,0.34,107.516,345277,4
"374","3eB1b4DL6O9TMOksOYg83l","spotify:track:3eB1b4DL6O9TMOksOYg83l","Hardwired…To Self-Destruct","Spit Out The Bone",53,"2016-11-18",6,0.154,0.987,9,-3.951,1,0.0875,9.07e-06,0.0559,0.153,0.454,168.127,429199,4
"417","2otSugsyrMFRi7ohdeB635","spotify:track:2otSugsyrMFRi7ohdeB635","Death Magnetic","That Was Just Your Life",44,"2008-09-12",1,0.251,0.994,5,-2.29,1,0.109,0.000577,0.0018,0.0898,0.361,189.891,428320,4
"418","3KFtAMirz8dF1gApXdWMRf","spotify:track:3KFtAMirz8dF1gApXdWMRf","Death Magnetic","The End Of The Line",45,"2008-09-12",2,0.335,0.985,4,-2.383,0,0.0921,0.000115,0.000807,0.135,0.202,106.552,472360,4
"419","5xABQiiRBuVWsL9zamoj1G","spotify:track:5xABQiiRBuVWsL9zamoj1G","Death Magnetic","Broken, Beat & Scarred",44,"2008-09-12",3,0.323,0.982,4,-1.459,1,0.0869,4.9e-05,0.00415,0.237,0.48,121.895,385467,4
"420","2gqzkEF88vMclfRZEIOnQO","spotify:track:2gqzkEF88vMclfRZEIOnQO","Death Magnetic","The Day That Never Comes",58,"2008-09-12",4,0.334,0.986,4,-1.046,0,0.0576,0.000114,0.0353,0.0805,0.48,124.668,476267,4
"421","5w3TTTAo6DIEjQYO3vKZq0","spotify:track:5w3TTTAo6DIEjQYO3vKZq0","Death Magnetic","All Nightmare Long",55,"2008-09-12",5,0.271,0.985,9,-0.805,1,0.123,0.000568,0.00112,0.0809,0.354,182.981,477013,4
"422","2LfonCFEOzFedikP12rTeo","spotify:track:2LfonCFEOzFedikP12rTeo","Death Magnetic","Cyanide",46,"2008-09-12",6,0.313,0.993,11,-0.463,0,0.0751,0.000119,0.000335,0.303,0.497,129.255,399547,4
"423","6guXhXMAHU4QYaEsobnS6v","spotify:track:6guXhXMAHU4QYaEsobnS6v","Death Magnetic","The Unforgiven III",55,"2008-09-12",7,0.298,0.766,4,-3.485,0,0.0347,0.00203,3.84e-06,0.117,0.0923,121.555,466587,4
"424","3XLnsk7Xs7ONROfmWTB58u","spotify:track:3XLnsk7Xs7ONROfmWTB58u","Death Magnetic","The Judas Kiss",41,"2008-09-12",8,0.412,0.975,4,-0.974,0,0.0719,0.000444,0.00325,0.0387,0.465,88.673,480760,4
"425","0rd4qVsMPD8YtAZEpsalT6","spotify:track:0rd4qVsMPD8YtAZEpsalT6","Death Magnetic","Suicide & Redemption",41,"2008-09-12",9,0.256,0.955,4,-2.224,0,0.0733,4.78e-05,0.836,0.0877,0.396,164.397,597720,4
"426","6qIleHbUTXcGfBfQ8h0R2n","spotify:track:6qIleHbUTXcGfBfQ8h0R2n","Death Magnetic","My Apocalypse",42,"2008-09-12",10,0.262,0.993,5,-1.27,0,0.199,0.000199,0.00182,0.0962,0.279,199.915,301013,4
"443","09NpqcWK5TLI86HbHv3N0L","spotify:track:09NpqcWK5TLI86HbHv3N0L","St. Anger","Frantic",47,"2003-06-05",1,0.483,0.978,10,-3.063,0,0.0882,0.00497,0.125,0.0782,0.563,161.764,350360,4
"444","3fOc9x06lKJBhz435mInlH","spotify:track:3fOc9x06lKJBhz435mInlH","St. Anger","St. Anger",55,"2003-06-05",2,0.249,0.949,2,-2.642,0,0.0678,0.00131,0.0228,0.0953,0.498,185.252,441133,4
"445","3mNOQhKgWNgtWIq4SGND8j","spotify:track:3mNOQhKgWNgtWIq4SGND8j","St. Anger","Some Kind Of Monster",44,"2003-06-05",3,0.337,0.938,5,-5.266,1,0.0532,0.000475,0.238,0.186,0.648,105.377,505547,4
"446","6BW7c1H0hOJ83lcKTbUR47","spotify:track:6BW7c1H0hOJ83lcKTbUR47","St. Anger","Dirty Window",39,"2003-06-05",4,0.366,0.981,1,-4.234,1,0.0843,0.0121,0.000136,0.386,0.439,127.454,324907,4
"447","1mbtnFSKbTmvbYxecgFb57","spotify:track:1mbtnFSKbTmvbYxecgFb57","St. Anger","Invisible Kid",37,"2003-06-05",5,0.491,0.988,1,-5.205,1,0.0908,0.0065,0.516,0.0569,0.408,157.839,510093,4
"448","0rVZ9iDQCmb2nyB8RvfAOv","spotify:track:0rVZ9iDQCmb2nyB8RvfAOv","St. Anger","My World",35,"2003-06-05",6,0.329,0.982,1,-4.456,1,0.083,0.0018,0.00456,0.281,0.351,99.153,345533,4
"449","2O4M60YhdylyjSNOXQMlIE","spotify:track:2O4M60YhdylyjSNOXQMlIE","St. Anger","Shoot Me Again",37,"2003-06-05",7,0.55,0.927,1,-4.324,1,0.0815,0.00061,0.0135,0.0458,0.347,111.432,430107,4
"450","5fU6qjmD38P90BMsuqpiuU","spotify:track:5fU6qjmD38P90BMsuqpiuU","St. Anger","Sweet Amber",38,"2003-06-05",8,0.479,0.913,0,-5.335,1,0.0625,0.00114,0.000107,0.226,0.413,93.213,327133,4
"451","6gcGqslzlXlwt4UCjXxrgN","spotify:track:6gcGqslzlXlwt4UCjXxrgN","St. Anger","The Unnamed Feeling",38,"2003-06-05",9,0.469,0.915,8,-5.235,1,0.0643,0.000826,0.00421,0.11,0.441,140.421,427893,4
"452","0HZpiUtrwCqKChQn0x6Bqy","spotify:track:0HZpiUtrwCqKChQn0x6Bqy","St. Anger","Purify",35,"2003-06-05",10,0.506,0.988,0,-3.139,1,0.0733,0.00213,0.00399,0.296,0.235,105.531,313933,3
"453","2XDPSz4jo6FiOoRc7pfgm3","spotify:track:2XDPSz4jo6FiOoRc7pfgm3","St. Anger","All Within My Hands",36,"2003-06-05",11,0.553,0.966,10,-4.489,0,0.086,0.00392,0.00241,0.237,0.302,105.786,525893,4
"529","1tTPC0hsnXq1IGpvWY54JC","spotify:track:1tTPC0hsnXq1IGpvWY54JC","Reload","Fuel",66,"1997-11-18",1,0.491,0.951,1,-3.775,1,0.0465,2.3e-05,0.00354,0.0424,0.555,106.948,269733,4
"530","0vhOJ8a3M2LWnBNrDXJKDl","spotify:track:0vhOJ8a3M2LWnBNrDXJKDl","Reload","The Memory Remains",57,"1997-11-18",2,0.432,0.904,10,-3.697,0,0.0432,0.000321,0.00982,0.206,0.6,144.401,279240,4
"531","1s36Y4giRH7VYiE0Iw1Z6i","spotify:track:1s36Y4giRH7VYiE0Iw1Z6i","Reload","Devil's Dance",47,"1997-11-18",3,0.611,0.795,0,-4.875,0,0.0318,4.17e-05,0.146,0.0614,0.489,92.582,318960,4
"532","0IGXkVRn0uCsgn4FvIfpgB","spotify:track:0IGXkVRn0uCsgn4FvIfpgB","Reload","The Unforgiven II",59,"1997-11-18",4,0.49,0.884,8,-4.533,0,0.0428,0.000514,0.00177,0.27,0.254,132.978,396440,4
"533","52TariT5sfkYzKRwdVMrRw","spotify:track:52TariT5sfkYzKRwdVMrRw","Reload","Better Than You",40,"1997-11-18",5,0.477,0.964,1,-5.44,1,0.052,3.59e-05,0.532,0.893,0.459,78.193,321600,4
"534","4E8tO8klOrcNGojpOvttMD","spotify:track:4E8tO8klOrcNGojpOvttMD","Reload","Slither",39,"1997-11-18",6,0.505,0.857,8,-3.841,1,0.0352,3.93e-05,0.00777,0.174,0.51,110.501,313200,4
"535","5Raz1bgliM4doMnDaOyElV","spotify:track:5Raz1bgliM4doMnDaOyElV","Reload","Carpe Diem Baby",40,"1997-11-18",7,0.387,0.866,3,-5.336,0,0.0346,1.38e-05,0.129,0.161,0.463,142.35,372200,4
"536","424n1SLlo8uYe5d9WzMrNj","spotify:track:424n1SLlo8uYe5d9WzMrNj","Reload","Bad Seed",39,"1997-11-18",8,0.548,0.946,6,-4.236,1,0.0439,2.6e-05,0.00902,0.312,0.713,126.915,245333,4
"537","4y8YNER0bmZhPOTJr76IiR","spotify:track:4y8YNER0bmZhPOTJr76IiR","Reload","Where The Wild Things Are",38,"1997-11-18",9,0.454,0.888,11,-4.844,1,0.0485,0.000375,0.0204,0.109,0.166,92.221,414133,4
"538","26A8IIHFL1Y9GufqR3I65T","spotify:track:26A8IIHFL1Y9GufqR3I65T","Reload","Prince Charming",38,"1997-11-18",10,0.551,0.975,3,-3.682,0,0.0469,1.97e-05,0.000811,0.0235,0.461,99.813,365227,4
"539","540SK3uC90geLZkbZrnpH9","spotify:track:540SK3uC90geLZkbZrnpH9","Reload","Low Man's Lyric",41,"1997-11-18",11,0.463,0.677,1,-6.19,1,0.0273,0.00232,0.000308,0.352,0.156,130.893,457267,3
"540","3mvunz8CB5WH2yLigeRw1w","spotify:track:3mvunz8CB5WH2yLigeRw1w","Reload","Attitude",37,"1997-11-18",12,0.458,0.972,1,-4.38,1,0.0451,1.28e-05,0.00718,0.331,0.628,155.514,316240,4
"541","3nPUPTVGhcRStUxcvM5xtI","spotify:track:3nPUPTVGhcRStUxcvM5xtI","Reload","Fixxxer",40,"1997-11-18",13,0.48,0.837,1,-4.644,1,0.0452,0.000163,0.000244,0.0539,0.385,132.695,495227,4
"542","7LMeflTW3D3JRKaA2JK9KJ","spotify:track:7LMeflTW3D3JRKaA2JK9KJ","Load","Ain't My B*tch",48,"1996-06-04",1,0.412,0.905,10,-4.525,0,0.0315,2.49e-05,0.0464,0.106,0.411,157.603,304173,4
"543","4M0aGQRCNnL77XUkvGO6If","spotify:track:4M0aGQRCNnL77XUkvGO6If","Load","2 X 4",45,"1996-06-04",2,0.518,0.898,1,-4.448,1,0.0352,4.19e-06,0.0134,0.516,0.688,115.792,328200,4
"544","4GgHgoto2yRwvFk25vujpZ","spotify:track:4GgHgoto2yRwvFk25vujpZ","Load","The House Jack Built",43,"1996-06-04",3,0.277,0.863,4,-5.378,1,0.0343,1.51e-05,0.00372,0.134,0.276,94.044,398960,4
"545","63aVbch5VRXtQnCITdeDTZ","spotify:track:63aVbch5VRXtQnCITdeDTZ","Load","Until It Sleeps",58,"1996-06-04",4,0.562,0.919,8,-4.458,0,0.0293,0.000223,0.113,0.142,0.728,113.357,269573,4
"546","140u2dqlZbpi4ZLgeolKqA","spotify:track:140u2dqlZbpi4ZLgeolKqA","Load","King Nothing",59,"1996-06-04",5,0.528,0.909,8,-5.712,1,0.0381,7.77e-05,0.00959,0.0891,0.349,112.083,328133,4
"547","5ktyEZbrgBEePsu6MW5Cvw","spotify:track:5ktyEZbrgBEePsu6MW5Cvw","Load","Hero Of The Day",55,"1996-06-04",6,0.351,0.9,8,-7.146,1,0.0357,0.000107,0.0262,0.11,0.777,116.023,261693,4
"548","2IenDzi8pYn8c4WRteZai0","spotify:track:2IenDzi8pYn8c4WRteZai0","Load","Bleeding Me",49,"1996-06-04",7,0.391,0.761,1,-6.062,1,0.0319,0.000891,0.0301,0.128,0.247,115.723,498133,4
"549","5De0T23DDwoV7TN5A3sHEY","spotify:track:5De0T23DDwoV7TN5A3sHEY","Load","Cure",41,"1996-06-04",8,0.609,0.846,8,-5.43,1,0.0276,2e-05,0.000909,0.0574,0.778,115.274,294200,4
"550","4XfQg5rBmwbZjmXbp0wxds","spotify:track:4XfQg5rBmwbZjmXbp0wxds","Load","Poor Twisted Me",39,"1996-06-04",9,0.477,0.919,1,-4.741,1,0.0681,9.91e-05,0.045,0.0413,0.476,118.243,240000,4
"551","3tIV4YWEZyzq4QtgvIgwxL","spotify:track:3tIV4YWEZyzq4QtgvIgwxL","Load","Wasting My Hate",42,"1996-06-04",10,0.512,0.92,8,-5.684,1,0.0493,0.000108,0.0272,0.111,0.432,81.461,237440,4
"552","4ePx4Js87KSIVMLL4RD7vX","spotify:track:4ePx4Js87KSIVMLL4RD7vX","Load","Mama Said",50,"1996-06-04",11,0.451,0.497,8,-7.694,0,0.0311,0.0186,0.000505,0.395,0.397,135.298,319600,4
"553","2aKhGkbQ6mWIGsR0kpSdfj","spotify:track:2aKhGkbQ6mWIGsR0kpSdfj","Load","Thorn Within",39,"1996-06-04",12,0.526,0.897,10,-5.848,0,0.0311,1.59e-05,0.408,0.295,0.651,117.699,351560,4
"554","4Vv7tatQcfAZcXmMh7ireQ","spotify:track:4Vv7tatQcfAZcXmMh7ireQ","Load","Ronnie",40,"1996-06-04",13,0.552,0.907,1,-5.476,1,0.0329,0.00145,0.00353,0.0481,0.591,84.469,317200,4
"555","44ARj4IaCoOevEu1oy0z1v","spotify:track:44ARj4IaCoOevEu1oy0z1v","Load","The Outlaw Torn",44,"1996-06-04",14,0.621,0.725,1,-6.802,1,0.0318,0.00026,0.0637,0.368,0.418,118.515,588600,4
"604","5sICkBXVmaCQk5aISGR3x1","spotify:track:5sICkBXVmaCQk5aISGR3x1","Metallica","Enter Sandman",83,"1991-08-12",1,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331267,4
"605","1PhLYngBKbeDtdmDzCg3Pb","spotify:track:1PhLYngBKbeDtdmDzCg3Pb","Metallica","Sad But True",73,"1991-08-12",2,0.633,0.846,7,-6.347,1,0.0337,0.000819,0.00139,0.0762,0.448,89.23,323933,4
"606","5YMJoplBWvIa2LHUPoGqb5","spotify:track:5YMJoplBWvIa2LHUPoGqb5","Metallica","Holier Than Thou",57,"1991-08-12",3,0.471,0.956,5,-6.25,1,0.0381,0.000322,0.528,0.066,0.315,172.15,227640,4
"607","4aYLAF6ckQ5ooGGGM7sWAa","spotify:track:4aYLAF6ckQ5ooGGGM7sWAa","Metallica","The Unforgiven",75,"1991-08-12",4,0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,386493,4
"608","22GbAGb80ZZNgm2yrBMnpR","spotify:track:22GbAGb80ZZNgm2yrBMnpR","Metallica","Wherever I May Roam",67,"1991-08-12",5,0.55,0.824,9,-7.848,0,0.0347,0.000362,0.00115,0.0865,0.332,131.387,403867,4
"609","2b7r6fN91KiHnp00aqHZ7x","spotify:track:2b7r6fN91KiHnp00aqHZ7x","Metallica","Don't Tread On Me",60,"1991-08-12",6,0.677,0.835,4,-7.627,0,0.0411,0.00546,0.00538,0.297,0.689,108.003,240333,4
"610","2VAQuXC01B2eJAEnkjIj7z","spotify:track:2VAQuXC01B2eJAEnkjIj7z","Metallica","Through The Never",55,"1991-08-12",7,0.394,0.931,4,-6.762,0,0.0413,0.00583,0.464,0.179,0.517,94.004,242907,4
"611","0nLiqZ6A27jJri2VCalIUs","spotify:track:0nLiqZ6A27jJri2VCalIUs","Metallica","Nothing Else Matters",82,"1991-08-12",8,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,388267,3
"612","2J8jdenoxkPXs44G9xcncc","spotify:track:2J8jdenoxkPXs44G9xcncc","Metallica","Of Wolf And Man",56,"1991-08-12",9,0.626,0.749,5,-7.746,1,0.0356,0.00106,0.0338,0.114,0.493,121.776,256533,4
"613","7tyc1pcOE4FOVIQTBzvxeF","spotify:track:7tyc1pcOE4FOVIQTBzvxeF","Metallica","The God That Failed",54,"1991-08-12",10,0.536,0.798,8,-6.531,1,0.0402,0.000327,0.000276,0.122,0.44,82.99,308533,4
"614","0R9GrbRcpBRdwDlVPj2wEQ","spotify:track:0R9GrbRcpBRdwDlVPj2wEQ","Metallica","My Friend Of Misery",55,"1991-08-12",11,0.582,0.819,9,-8.092,0,0.0345,0.000283,0.0167,0.0996,0.394,119.513,407773,4
"615","4R4uSnvRFeVdLQcX2zj8aU","spotify:track:4R4uSnvRFeVdLQcX2zj8aU","Metallica","The Struggle Within",51,"1991-08-12",12,0.488,0.931,6,-7.349,0,0.0533,0.00056,0.0449,0.224,0.53,98.868,233907,4
"1223","6UB9mShVLbMm0W4e6vud4C","spotify:track:6UB9mShVLbMm0W4e6vud4C","Master Of Puppets (Remastered)","Battery",66,"1986-03-03",1,0.481,0.928,11,-8.799,0,0.0672,0.00022,0.558,0.106,0.427,96.699,312360,4
